PIB Municipal (valor adicionado a preços básicos) - serviços - administração, defesa, educação e saúde públicas e seguridade social (preços de 2010)
Sigla,Código,Município,2021,
AL,2708709,São Miguel dos Milagres,23821.1759702562,
AL,2708808,São Sebastião,83235.9409382795,
AL,2708907,Satuba,36258.3225776544,
AL,2708956,Senador Rui Palmeira,33469.615831695,
AL,2709004,Tanque d'Arca,16973.1130370079,
AL,2709103,Taquarana,45959.5116627782,
AL,2709152,Teotônio Vilela,117900.583430446,
AL,2709202,Traipu,60002.9421524741,
AL,2709301,União dos Palmares,163517.458542917,
AL,2709400,Viçosa,69108.9519438084,
AM,1300029,Alvarães,48721.6103932505,
AM,1300060,Amaturá,36292.3995097694,
AM,1300086,Anamã,33801.5158143494,
AM,1300102,Anori,53966.1902879366,
AM,1300144,Apuí,53024.1731782368,
AM,1300201,Atalaia do Norte,57738.9267996279,
AM,1300300,Autazes,111248.112751392,
AM,1300409,Barcelos,68340.5871457084,
AM,1300508,Barreirinha,97137.9288193338,
AM,1300607,Benjamin Constant,117181.700205006,
AM,1300631,Beruri,60580.8495765615,
AM,1300680,Boa Vista do Ramos,52717.947596491,
AM,1300706,Boca do Acre,88589.7537386493,
AM,1300805,Borba,112072.961231491,
AM,1300839,Caapiranga,40409.1729936356,
AM,1300904,Canutama,43598.8672010579,
AM,1301001,Carauari,70677.4244356771,
AM,1301100,Careiro,99172.2749858706,
AM,1301159,Careiro da Várzea,76415.4196350968,
AM,1301209,Coari,250361.819827073,
AM,1301308,Codajás,72741.6462687258,
AM,1301407,Eirunepé,95667.0190509176,
AM,1301506,Envira,53519.9225194168,
AM,1301605,Fonte Boa,59341.0094163224,
AM,1301654,Guajará,49026.4355531286,
AM,1301704,Humaitá,132134.938101444,
AM,1301803,Ipixuna,71687.1286023176,
AM,1301852,Iranduba,142713.724890351,
AM,1301902,Itacoatiara,269026.175673022,
AM,1301951,Itamarati,27549.0989821798,
AM,1302009,Itapiranga,29900.8741054044,
AM,1302108,Japurá,17422.6484565524,
AM,1302207,Juruá,39720.1654347075,
AM,1302306,Jutaí,53228.6347709269,
AM,1302405,Lábrea,109003.236497405,
AM,1302504,Manacapuru,258032.864011263,
AM,1302553,Manaquiri,76080.2520014177,
AM,1302603,Manaus,5265305.204714,
AM,1302702,Manicoré,141684.414817562,
AM,1302801,Maraã,55754.9958203297,
AM,1302900,Maués,160601.780214283,
AM,1303007,Nhamundá,55758.7302786437,
AM,1303106,Nova Olinda do Norte,96722.4703319043,
AM,1303205,Novo Airão,54783.1030441182,
AM,1303304,Novo Aripuanã,62245.0175627258,
AM,1303403,Parintins,277532.338097674,
AM,1303502,Pauini,54407.7899835639,
AM,1303536,Presidente Figueiredo,124519.910791963,
AM,1303569,Rio Preto da Eva,82050.7172308823,
AM,1303601,Santa Isabel do Rio Negro,61261.4546042831,
AM,1303700,Santo Antônio do Içá,65166.2975788312,
AM,1303809,São Gabriel da Cachoeira,120782.184826965,
AM,1303908,São Paulo de Olivença,105366.340906884,
AM,1303957,São Sebastião do Uatumã,37443.0794777624,
AM,1304005,Silves,29920.4800115528,
AM,1304062,Tabatinga,185163.779352573,
AM,1304104,Tapauá,55988.399464953,
AM,1304203,Tefé,179106.954774598,
AM,1304237,Tonantins,58729.4918674093,
AM,1304260,Uarini,41149.99616167,
AM,1304302,Urucará,46407.1798531657,
AM,1304401,Urucurituba,62556.8448319425,
AP,1600055,Serra do Navio,30316.7994001232,
AP,1600105,Amapá,44588.96546155,
AP,1600154,Pedra Branca do Amaparí,90033.1218769999,
