PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010)
Sigla,Código,Município,2021,
AL,2708907,Satuba,3606.55311671956,
AL,2708956,Senador Rui Palmeira,9281.52933209099,
AL,2709004,Tanque d'Arca,18841.7426158622,
AL,2709103,Taquarana,143164.660731763,
AL,2709152,Teotônio Vilela,391154.632722174,
AL,2709202,Traipu,55423.5626449646,
AL,2709301,União dos Palmares,247924.152162627,
AL,2709400,Viçosa,133545.162922258,
AM,1300029,Alvarães,30999.2716570018,
AM,1300060,Amaturá,6324.30515471351,
AM,1300086,Anamã,17096.350161369,
AM,1300102,Anori,38817.3601373045,
AM,1300144,Apuí,39424.6764206144,
AM,1300201,Atalaia do Norte,12405.8705190188,
AM,1300300,Autazes,55421.2286085183,
AM,1300409,Barcelos,14873.4138499765,
AM,1300508,Barreirinha,24353.8030872866,
AM,1300607,Benjamin Constant,17178.0414369872,
AM,1300631,Beruri,12354.9885244909,
AM,1300680,Boa Vista do Ramos,12048.2961354558,
AM,1300706,Boca do Acre,56602.7178576016,
AM,1300805,Borba,24567.1340184723,
AM,1300839,Caapiranga,24509.2499146057,
AM,1300904,Canutama,10882.2115269177,
AM,1301001,Carauari,45946.4410586793,
AM,1301100,Careiro,28391.68613927,
AM,1301159,Careiro da Várzea,90550.3443534852,
AM,1301209,Coari,53174.018318085,
AM,1301308,Codajás,139637.464854216,
AM,1301407,Eirunepé,116223.811647472,
AM,1301506,Envira,21179.9803276986,
AM,1301605,Fonte Boa,13483.7285498893,
AM,1301654,Guajará,14834.668844969,
AM,1301704,Humaitá,85795.9121125081,
AM,1301803,Ipixuna,7801.75022517913,
AM,1301852,Iranduba,141611.59288044,
AM,1301902,Itacoatiara,217373.949117881,
AM,1301951,Itamarati,20046.5722294078,
AM,1302009,Itapiranga,18850.6119543579,
AM,1302108,Japurá,7778.4098607168,
AM,1302207,Juruá,10015.817198076,
AM,1302306,Jutaí,36192.0359425814,
AM,1302405,Lábrea,109668.903691871,
AM,1302504,Manacapuru,190980.664983875,
AM,1302553,Manaquiri,43512.5078525473,
AM,1302603,Manaus,93859.5412269546,
AM,1302702,Manicoré,86006.4421999583,
AM,1302801,Maraã,8729.76311620145,
AM,1302900,Maués,31559.4404040977,
AM,1303007,Nhamundá,12822.2626210268,
AM,1303106,Nova Olinda do Norte,18558.8573985788,
AM,1303205,Novo Airão,4175.59120231121,
AM,1303304,Novo Aripuanã,26228.0343536118,
AM,1303403,Parintins,135597.714573075,
AM,1303502,Pauini,17286.8075353817,
AM,1303536,Presidente Figueiredo,44467.5955663459,
AM,1303569,Rio Preto da Eva,40715.8653826706,
AM,1303601,Santa Isabel do Rio Negro,8333.9105349203,
AM,1303700,Santo Antônio do Içá,12565.5186119411,
AM,1303809,São Gabriel da Cachoeira,12091.2424060665,
AM,1303908,São Paulo de Olivença,17029.1299117175,
AM,1303957,São Sebastião do Uatumã,9783.34716803113,
AM,1304005,Silves,27341.8365457543,
AM,1304062,Tabatinga,9462.65056031868,
AM,1304104,Tapauá,27817.9799807859,
AM,1304203,Tefé,89444.0110779706,
AM,1304237,Tonantins,6097.43681213964,
AM,1304260,Uarini,38276.3304890677,
AM,1304302,Urucará,23825.8440431486,
