PIB Municipal - impostos, líquidos de subsídios, sobre produtos (preços de 2010)
Sigla,Código,Município,2021,
AL,2708808,São Sebastião,9117.67997356541,
AL,2708907,Satuba,11389.1642430396,
AL,2708956,Senador Rui Palmeira,1515.2564608946,
AL,2709004,Tanque d'Arca,632.057069639954,
AL,2709103,Taquarana,5238.04459263657,
AL,2709152,Teotônio Vilela,14151.7297808012,
AL,2709202,Traipu,2377.9163314224,
AL,2709301,União dos Palmares,38669.3822266133,
AL,2709400,Viçosa,6642.20091869047,
AM,1300029,Alvarães,1888.23548500267,
AM,1300060,Amaturá,1324.33227959272,
AM,1300086,Anamã,1358.87601899698,
AM,1300102,Anori,2863.3959122389,
AM,1300144,Apuí,7023.11566671573,
AM,1300201,Atalaia do Norte,2032.47893737988,
AM,1300300,Autazes,10209.5422231133,
AM,1300409,Barcelos,3025.84484889673,
AM,1300508,Barreirinha,4903.81057353598,
AM,1300607,Benjamin Constant,5639.96566867793,
AM,1300631,Beruri,3366.61417004678,
AM,1300680,Boa Vista do Ramos,1925.11326085315,
AM,1300706,Boca do Acre,15393.4371701973,
AM,1300805,Borba,6979.70258881579,
AM,1300839,Caapiranga,1768.26601166628,
AM,1300904,Canutama,2022.6759843057,
AM,1301001,Carauari,7855.4330634425,
AM,1301100,Careiro,7306.46769128844,
AM,1301159,Careiro da Várzea,2585.1787678479,
AM,1301209,Coari,53153.9456046474,
AM,1301308,Codajás,4227.40681141759,
AM,1301407,Eirunepé,7266.32226441323,
AM,1301506,Envira,3273.7195194867,
AM,1301605,Fonte Boa,3921.64803696104,
AM,1301654,Guajará,1945.65278158,
AM,1301704,Humaitá,28409.8916235506,
AM,1301803,Ipixuna,2840.05554777657,
AM,1301852,Iranduba,27216.265384947,
AM,1301902,Itacoatiara,93356.789776436,
AM,1301951,Itamarati,1802.80975107053,
AM,1302009,Itapiranga,3357.27802426185,
AM,1302108,Japurá,1837.82029776403,
AM,1302207,Juruá,1912.04265675425,
AM,1302306,Jutaí,3692.44565794094,
AM,1302405,Lábrea,11284.5994102483,
AM,1302504,Manacapuru,33446.2754672327,
AM,1302553,Manaquiri,3255.51403520608,
AM,1302603,Manaus,9811058.71594996,
AM,1302702,Manicoré,13578.9572368956,
AM,1302801,Maraã,2114.17021299804,
AM,1302900,Maués,12950.6346255696,
AM,1303007,Nhamundá,3957.12539094379,
AM,1303106,Nova Olinda do Norte,7371.82071178297,
AM,1303205,Novo Airão,3281.18843611465,
AM,1303304,Novo Aripuanã,3673.77336637107,
AM,1303403,Parintins,42486.4654307831,
AM,1303502,Pauini,2569.77412730277,
AM,1303536,Presidente Figueiredo,20117.5269373733,
AM,1303569,Rio Preto da Eva,12278.4321290544,
AM,1303601,Santa Isabel do Rio Negro,2398.92265943849,
AM,1303700,Santo Antônio do Içá,5279.59044137952,
AM,1303809,São Gabriel da Cachoeira,9338.01301408983,
AM,1303908,São Paulo de Olivença,3804.01260007089,
AM,1303957,São Sebastião do Uatumã,1982.99736471974,
AM,1304005,Silves,3943.58797955563,
AM,1304062,Tabatinga,29547.967794734,
AM,1304104,Tapauá,3518.79334634119,
AM,1304203,Tefé,21906.3324697664,
AM,1304237,Tonantins,2773.76891270355,
AM,1304260,Uarini,4082.22974446189,
AM,1304302,Urucará,3294.25904021355,
AM,1304401,Urucurituba,3923.04845882878,
AP,1600055,Serra do Navio,1499.85182034946,
AP,1600105,Amapá,1857.42620391239,
AP,1600154,Pedra Branca do Amaparí,25838.2502670909,
AP,1600204,Calçoene,3699.91457456889,
AP,1600212,Cutias,717.482803572089,
AP,1600238,Ferreira Gomes,2891.4043495937,
AP,1600253,Itaubal,1030.71049465659,
AP,1600279,Laranjal do Jari,15261.3307073405,
AP,1600303,Macapá,556324.589069025,
AP,1600402,Mazagão,9809.02156893969,
AP,1600501,Oiapoque,15254.795405291,
AP,1600535,Porto Grande,7156.15574415102,
AP,1600550,Pracuúba,631.590262350707,
AP,1600600,Santana,95772.5174982873,
AP,1600709,Tartarugalzinho,2199.12913964093,
AP,1600808,Vitória do Jari,4334.77248794432,
BA,2900108,Abaíra,1513.38923173761,
BA,2900207,Abaré,7970.26765659717,
BA,2900306,Acajutiba,2501.15345578351,
BA,2900355,Adustina,3374.54989396398,
BA,2900405,Água Fria,3501.98828392831,
BA,2900504,Érico Cardoso,1305.65998802286,
BA,2900603,Aiquara,643.72725187112,
BA,2900702,Alagoinhas,374308.958075131,
BA,2900801,Alcobaça,10842.0661000425,
BA,2900900,Almadina,770.23202725696,
BA,2901007,Amargosa,20556.7925965544,
BA,2901106,Amélia Rodrigues,26580.0070497038,
BA,2901155,América Dourada,4196.13072303807,
BA,2901205,Anagé,6983.90385441901,
BA,2901304,Andaraí,3943.58797955563,
BA,2901353,Andorinha,3838.55633947514,
BA,2901403,Angical,2988.96707304625,
BA,2901502,Anguera,1842.02156336725,
BA,2901601,Antas,4072.42679138771,
BA,2901700,Antônio Cardoso,5699.25019441225,
BA,2901809,Antônio Gonçalves,1779.93619389745,
BA,2901908,Aporá,2478.74670589967,
BA,2901957,Apuarema,1175.88756161229,
BA,2902005,Aracatu,3683.57631944525,
BA,2902054,Araças,4718.02127241581,
BA,2902104,Araci,11778.9483295605,
BA,2902203,Aramari,2732.2230639606,
BA,2902252,Arataca,1703.84660575024,
BA,2902302,Aratuípe,1413.95927912808,
BA,2902401,Aurelino Leal,2427.86471137179,
BA,2902500,Baianópolis,3388.55411264138,
BA,2902609,Baixa Grande,4628.39427288046,
BA,2902658,Banzaê,2227.13757699573,
BA,2902708,Barra,9229.71372298461,
BA,2902807,Barra da Estiva,10661.4116791041,
BA,2902906,Barra do Choça,13199.9097180273,
BA,2903003,Barra do Mendes,2469.41056011474,
BA,2903102,Barra do Rocha,1049.8495935157,
BA,2903201,Barreiras,331076.067788842,
BA,2903235,Barro Alto,2619.25569996291,
BA,2903276,Barrocas,4475.74828929681,
BA,2903300,Governador Lomanto Júnior,1091.39544225865,
BA,2903409,Belmonte,9450.04676350902,
BA,2903508,Belo Campo,5119.00873387868,
BA,2903607,Biritinga,5606.82235114142,
BA,2903706,Boa Nova,2095.96472871742,
BA,2903805,Boa Vista do Tupim,3026.77846347523,
BA,2903904,Bom Jesus da Lapa,52446.7325614387,
BA,2903953,Bom Jesus da Serra,1207.63045728106,
BA,2904001,Boninal,3192.96185844703,
BA,2904050,Bonito,5800.54737617878,
BA,2904100,Boquira,3558.00515863791,
BA,2904209,Botuporã,2457.74037788357,
BA,2904308,Brejões,5048.98764049168,
BA,2904407,Brejolândia,2391.45374281055,
BA,2904506,Brotas de Macaúbas,2541.76568994797,
BA,2904605,Brumado,71957.4100227914,
BA,2904704,Buerarema,10000.4125575308,
BA,2904753,Buritirama,3276.05355593294,
BA,2904803,Caatiba,1091.8622495479,
BA,2904852,Cabaceiras do Paraguaçu,2568.37370543503,
BA,2904902,Cachoeira,20310.7851551214,
BA,2905008,Caculé,27562.1695862787,
BA,2905107,Caém,1614.21960621489,
BA,2905156,Caetanos,1954.52212007569,
BA,2905206,Caetité,35475.0199462986,
BA,2905305,Cafarnaum,7708.85557461905,
BA,2905404,Cairu,12646.2762729808,
BA,2905503,Caldeirão Grande,2138.91099932811,
BA,2905602,Camacan,11597.8271013328,
BA,2905701,Camaçari,3726502.9841498,
BA,2905800,Camamu,19113.4244582038,
BA,2905909,Campo Alegre de Lourdes,9520.06785689602,
