PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010)
Sigla,Código,Município,2021,
AL,2708808,São Sebastião,9139.15310887076,
AL,2708907,Satuba,23937.4109852786,
AL,2708956,Senador Rui Palmeira,1066.18784863933,
AL,2709004,Tanque d'Arca,708.613465076403,
AL,2709103,Taquarana,8660.20883010371,
AL,2709152,Teotônio Vilela,19817.8366576769,
AL,2709202,Traipu,4078.96209343716,
AL,2709301,União dos Palmares,52208.660843923,
AL,2709400,Viçosa,10552.6455807096,
AM,1300029,Alvarães,4776.37218357164,
AM,1300060,Amaturá,2416.66133642987,
AM,1300086,Anamã,3100.06720788695,
AM,1300102,Anori,4811.38273026514,
AM,1300144,Apuí,11543.210648491,
AM,1300201,Atalaia do Norte,2481.54754963515,
AM,1300300,Autazes,14930.8311465538,
AM,1300409,Barcelos,8901.54819864422,
AM,1300508,Barreirinha,7749.00100149426,
AM,1300607,Benjamin Constant,11339.2158630902,
AM,1300631,Beruri,4720.35530886205,
AM,1300680,Boa Vista do Ramos,4278.28880594548,
AM,1300706,Boca do Acre,24935.4449696879,
AM,1300805,Borba,9273.12680088455,
AM,1300839,Caapiranga,3798.41091259993,
AM,1300904,Canutama,3256.44764978458,
AM,1301001,Carauari,11198.2400617377,
AM,1301100,Careiro,16718.2362570792,
AM,1301159,Careiro da Várzea,7053.45814051676,
AM,1301209,Coari,934062.713490961,
AM,1301308,Codajás,8794.64932940674,
AM,1301407,Eirunepé,9677.38191337214,
AM,1301506,Envira,4460.81045604091,
AM,1301605,Fonte Boa,6626.32947085609,
AM,1301654,Guajará,3327.40235775007,
AM,1301704,Humaitá,36244.318358977,
AM,1301803,Ipixuna,3621.49094997545,
AM,1301852,Iranduba,57508.7908060293,
AM,1301902,Itacoatiara,85189.5294437767,
AM,1301951,Itamarati,3025.37804160749,
AM,1302009,Itapiranga,4337.10652439055,
AM,1302108,Japurá,2817.64879789273,
AM,1302207,Juruá,3149.54878054709,
AM,1302306,Jutaí,6928.35378699866,
AM,1302405,Lábrea,12037.5595678032,
AM,1302504,Manacapuru,66421.5423796155,
AM,1302553,Manaquiri,6967.56559929538,
AM,1302603,Manaus,17597238.5839963,
AM,1302702,Manicoré,19165.2400673101,
AM,1302801,Maraã,3649.032580041,
AM,1302900,Maués,17153.3006506571,
AM,1303007,Nhamundá,4602.71987197189,
AM,1303106,Nova Olinda do Norte,9789.41566279133,
AM,1303205,Novo Airão,5873.8361205905,
AM,1303304,Novo Aripuanã,7258.38654049604,
AM,1303403,Parintins,43156.8006981413,
AM,1303502,Pauini,3515.52569531646,
AM,1303536,Presidente Figueiredo,202448.252851508,
AM,1303569,Rio Preto da Eva,19055.5403543372,
AM,1303601,Santa Isabel do Rio Negro,2854.99338103246,
AM,1303700,Santo Antônio do Içá,6037.68547911607,
AM,1303809,São Gabriel da Cachoeira,11920.3909382023,
AM,1303908,São Paulo de Olivença,6396.66028454674,
AM,1303957,São Sebastião do Uatumã,3207.43288441368,
AM,1304005,Silves,9662.91088740549,
AM,1304062,Tabatinga,23583.5710600296,
AM,1304104,Tapauá,5560.14162221676,
AM,1304203,Tefé,106025.93960659,
AM,1304237,Tonantins,3542.60051809277,
AM,1304260,Uarini,5098.93602044107,
AM,1304302,Urucará,4877.66936533816,
AM,1304401,Urucurituba,5927.98576614311,
AP,1600055,Serra do Navio,2055.81930184221,
AP,1600105,Amapá,2145.44630137757,
AP,1600154,Pedra Branca do Amaparí,66378.5961090048,
AP,1600204,Calçoene,4630.72830932669,
AP,1600212,Cutias,900.938068246019,
AP,1600238,Ferreira Gomes,205184.677181072,
AP,1600253,Itaubal,1165.15099395962,
