População  residente - rural
Sigla,Código,Município,2010,
AM,1301704,Humaitá,13726,
AM,1301803,Ipixuna,12755,
AM,1301852,Iranduba,11802,
AM,1301902,Itacoatiara,28682,
AM,1301951,Itamarati,3566,
AM,1302009,Itapiranga,1760,
AM,1302108,Japurá,4028,
AM,1302207,Juruá,5116,
AM,1302306,Jutaí,7440,
AM,1302405,Lábrea,13494,
AM,1302504,Manacapuru,25275,
AM,1302553,Manaquiri,15723,
AM,1302603,Manaus,9133,
AM,1302702,Manicoré,26668,
AM,1302801,Maraã,8775,
AM,1302900,Maués,26404,
AM,1303007,Nhamundá,11268,
AM,1303106,Nova Olinda do Norte,17070,
AM,1303205,Novo Airão,5224,
AM,1303304,Novo Aripuanã,7377,
AM,1303403,Parintins,32143,
AM,1303502,Pauini,8902,
AM,1303536,Presidente Figueiredo,14174,
AM,1303569,Rio Preto da Eva,13514,
AM,1303601,Santa Isabel do Rio Negro,11290,
AM,1303700,Santo Antônio do Içá,11534,
AM,1303809,São Gabriel da Cachoeira,18842,
AM,1303908,São Paulo de Olivença,17159,
AM,1303957,São Sebastião do Uatumã,4801,
AM,1304005,Silves,4415,
AM,1304062,Tabatinga,15917,
AM,1304104,Tapauá,8459,
AM,1304203,Tefé,11384,
AM,1304237,Tonantins,8180,
AM,1304260,Uarini,5096,
AM,1304302,Urucará,7208,
AM,1304401,Urucurituba,7389,
AP,1600055,Serra do Navio,1805,
AP,1600105,Amapá,1110,
AP,1600154,Pedra Branca do Amaparí,4809,
AP,1600204,Calçoene,1693,
AP,1600212,Cutias,2254,
AP,1600238,Ferreira Gomes,1527,
AP,1600253,Itaubal,2511,
AP,1600279,Laranjal do Jari,2038,
AP,1600303,Macapá,17113,
AP,1600402,Mazagão,8760,
AP,1600501,Oiapoque,6657,
AP,1600535,Porto Grande,6000,
AP,1600550,Pracuúba,1912,
AP,1600600,Santana,2151,
AP,1600709,Tartarugalzinho,6047,
AP,1600808,Vitória do Jari,2126,
BA,2900108,Abaíra,4580,
BA,2900207,Abaré,8035,
BA,2900306,Acajutiba,1879,
