População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,2010,
AM,1301654,Guajará,3496,
AM,1301704,Humaitá,15744,
AM,1301803,Ipixuna,6641,
AM,1301852,Iranduba,15420,
AM,1301902,Itacoatiara,34869,
AM,1301951,Itamarati,1862,
AM,1302009,Itapiranga,3120,
AM,1302108,Japurá,2600,
AM,1302207,Juruá,4485,
AM,1302306,Jutaí,6604,
AM,1302405,Lábrea,15427,
AM,1302504,Manacapuru,34260,
AM,1302553,Manaquiri,8185,
AM,1302603,Manaus,844465,
AM,1302702,Manicoré,18441,
AM,1302801,Maraã,5401,
AM,1302900,Maués,19792,
AM,1303007,Nhamundá,6189,
AM,1303106,Nova Olinda do Norte,13238,
AM,1303205,Novo Airão,5480,
AM,1303304,Novo Aripuanã,8754,
AM,1303403,Parintins,38823,
AM,1303502,Pauini,6761,
AM,1303536,Presidente Figueiredo,12056,
AM,1303569,Rio Preto da Eva,11540,
AM,1303601,Santa Isabel do Rio Negro,4930,
AM,1303700,Santo Antônio do Içá,7070,
AM,1303809,São Gabriel da Cachoeira,10997,
AM,1303908,São Paulo de Olivença,12544,
AM,1303957,São Sebastião do Uatumã,4426,
AM,1304005,Silves,3093,
AM,1304062,Tabatinga,19132,
AM,1304104,Tapauá,8171,
AM,1304203,Tefé,22161,
AM,1304237,Tonantins,5678,
AM,1304260,Uarini,5018,
AM,1304302,Urucará,6169,
AM,1304401,Urucurituba,6968,
AP,1600055,Serra do Navio,1760,
AP,1600105,Amapá,3220,
AP,1600154,Pedra Branca do Amaparí,4916,
AP,1600204,Calçoene,3873,
AP,1600212,Cutias,1693,
AP,1600238,Ferreira Gomes,2469,
AP,1600253,Itaubal,1538,
AP,1600279,Laranjal do Jari,16494,
AP,1600303,Macapá,185421,
AP,1600402,Mazagão,6185,
AP,1600501,Oiapoque,9049,
AP,1600535,Porto Grande,7234,
AP,1600550,Pracuúba,1271,
AP,1600600,Santana,42094,
AP,1600709,Tartarugalzinho,4378,
AP,1600808,Vitória do Jari,4358,
BA,2900108,Abaíra,3658,
BA,2900207,Abaré,6793,
BA,2900306,Acajutiba,5856,
BA,2900355,Adustina,5898,
BA,2900405,Água Fria,7019,
BA,2900504,Érico Cardoso,5451,
BA,2900603,Aiquara,2039,
BA,2900702,Alagoinhas,67016,
BA,2900801,Alcobaça,9595,
BA,2900900,Almadina,2075,
BA,2901007,Amargosa,16694,
BA,2901106,Amélia Rodrigues,11569,
BA,2901155,América Dourada,6034,
BA,2901205,Anagé,9089,
BA,2901304,Andaraí,5440,
BA,2901353,Andorinha,6456,
BA,2901403,Angical,5803,
BA,2901502,Anguera,3954,
BA,2901601,Antas,6344,
BA,2901700,Antônio Cardoso,6188,
BA,2901809,Antônio Gonçalves,4741,
BA,2901908,Aporá,7730,
BA,2901957,Apuarema,3203,
BA,2902005,Aracatu,7032,
BA,2902054,Araças,4496,
BA,2902104,Araci,22007,
BA,2902203,Aramari,3681,
BA,2902252,Arataca,4094,
BA,2902302,Aratuípe,4208,
BA,2902401,Aurelino Leal,5278,
BA,2902500,Baianópolis,5083,
BA,2902609,Baixa Grande,8684,
BA,2902658,Banzaê,4811,
BA,2902708,Barra,18747,
BA,2902807,Barra da Estiva,10648,
BA,2902906,Barra do Choça,15374,
BA,2903003,Barra do Mendes,5662,
BA,2903102,Barra do Rocha,2464,
BA,2903201,Barreiras,67508,
BA,2903235,Barro Alto,6839,
BA,2903276,Barrocas,7625,
BA,2903300,Governador Lomanto Júnior,2436,
BA,2903409,Belmonte,9259,
BA,2903508,Belo Campo,7190,
BA,2903607,Biritinga,6358,
BA,2903706,Boa Nova,5928,
BA,2903805,Boa Vista do Tupim,6880,
BA,2903904,Bom Jesus da Lapa,27672,
BA,2903953,Bom Jesus da Serra,3707,
BA,2904001,Boninal,5434,
BA,2904050,Bonito,7490,
BA,2904100,Boquira,8794,
BA,2904209,Botuporã,5688,
BA,2904308,Brejões,5615,
BA,2904407,Brejolândia,3800,
BA,2904506,Brotas de Macaúbas,4265,
BA,2904605,Brumado,30530,
BA,2904704,Buerarema,6343,
BA,2904753,Buritirama,7786,
BA,2904803,Caatiba,4694,
BA,2904852,Cabaceiras do Paraguaçu,9061,
BA,2904902,Cachoeira,14956,
BA,2905008,Caculé,11387,
BA,2905107,Caém,4263,
BA,2905156,Caetanos,4064,
BA,2905206,Caetité,23477,
BA,2905305,Cafarnaum,6673,
BA,2905404,Cairu,7180,
BA,2905503,Caldeirão Grande,5939,
BA,2905602,Camacan,11516,
BA,2905701,Camaçari,125447,
BA,2905800,Camamu,15321,
BA,2905909,Campo Alegre de Lourdes,10100,
BA,2906006,Campo Formoso,30254,
BA,2906105,Canápolis,3408,
BA,2906204,Canarana,12439,
BA,2906303,Canavieiras,13509,
BA,2906402,Candeal,4243,
BA,2906501,Candeias,39671,
BA,2906600,Candiba,6240,
BA,2906709,Cândido Sales,12079,
BA,2906808,Cansanção,14459,
BA,2906824,Canudos,6633,
BA,2906857,Capela do Alto Alegre,5289,
BA,2906873,Capim Grosso,13597,
BA,2906899,Caraíbas,3943,
BA,2906907,Caravelas,9043,
BA,2907004,Cardeal da Silva,3205,
BA,2907103,Carinhanha,11880,
BA,2907202,Casa Nova,27818,
BA,2907301,Castro Alves,11162,
BA,2907400,Catolândia,958,
BA,2907509,Catu,21415,
BA,2907558,Caturama,3719,
BA,2907608,Central,6945,
BA,2907707,Chorrochó,3992,
BA,2907806,Cícero Dantas,14550,
BA,2907905,Cipó,7085,
BA,2908002,Coaraci,7402,
BA,2908101,Cocos,7041,
BA,2908200,Conceição da Feira,9181,
BA,2908309,Conceição do Almeida,6872,
BA,2908408,Conceição do Coité,31905,
BA,2908507,Conceição do Jacuípe,15140,
BA,2908606,Conde,8271,
BA,2908705,Condeúba,6586,
BA,2908804,Contendas do Sincorá,2113,
BA,2908903,Coração de Maria,10495,
BA,2909000,Cordeiros,3201,
BA,2909109,Coribe,5492,
BA,2909208,Coronel João Sá,7226,
BA,2909307,Correntina,11275,
BA,2909406,Cotegipe,5651,
BA,2909505,Cravolândia,2338,
BA,2909604,Crisópolis,9911,
BA,2909703,Cristópolis,4621,
BA,2909802,Cruz das Almas,27195,
BA,2909901,Curaçá,12855,
BA,2910008,Dário Meira,5115,
BA,2910057,Dias d'Ávila,30301,
BA,2910107,Dom Basílio,5178,
BA,2910206,Dom Macedo Costa,1772,
BA,2910305,Elísio Medrado,4085,
BA,2910404,Encruzilhada,9466,
BA,2910503,Entre Rios,15154,
BA,2910602,Esplanada,13873,
BA,2910701,Euclides da Cunha,25329,
BA,2910727,Eunápolis,49011,
BA,2910750,Fátima,8207,
BA,2910776,Feira da Mata,2201,
BA,2910800,Feira de Santana,292296,
BA,2910859,Filadélfia,6448,
BA,2910909,Firmino Alves,2311,
BA,2911006,Floresta Azul,3369,
BA,2911105,Formosa do Rio Preto,8150,
BA,2911204,Gandu,14592,
BA,2911253,Gavião,2289,
BA,2911303,Gentio do Ouro,3313,
BA,2911402,Glória,5805,
BA,2911501,Gongogi,3251,
BA,2911600,Governador Mangabeira,9964,
BA,2911659,Guajeru,4987,
BA,2911709,Guanambi,40257,
BA,2911808,Guaratinga,9512,
BA,2911857,Heliópolis,6356,
BA,2911907,Iaçu,9551,
BA,2912004,Ibiassucê,5348,
BA,2912103,Ibicaraí,9124,
BA,2912202,Ibicoara,7722,
BA,2912301,Ibicuí,6454,
BA,2912400,Ibipeba,6947,
BA,2912509,Ibipitanga,5121,
BA,2912608,Ibiquera,1797,
BA,2912707,Ibirapitanga,9023,
BA,2912806,Ibirapuã,3613,
BA,2912905,Ibirataia,7296,
BA,2913002,Ibitiara,5227,
BA,2913101,Ibititá,7569,
BA,2913200,Ibotirama,11293,
BA,2913309,Ichu,2367,
BA,2913408,Igaporã,6734,
BA,2913457,Igrapiúna,6152,
BA,2913507,Iguaí,10623,
BA,2913606,Ilhéus,87718,
BA,2913705,Inhambupe,16903,
BA,2913804,Ipecaetá,6730,
BA,2913903,Ipiaú,18966,
BA,2914000,Ipirá,25333,
BA,2914109,Ipupiara,3733,
BA,2914208,Irajuba,3074,
BA,2914307,Iramaia,4643,
BA,2914406,Iraquara,8970,
BA,2914505,Irará,15094,
BA,2914604,Irecê,30865,
BA,2914653,Itabela,12278,
BA,2914703,Itaberaba,28655,
BA,2914802,Itabuna,98549,
BA,2914901,Itacaré,11055,
BA,2915007,Itaeté,5348,
BA,2915106,Itagi,4731,
BA,2915205,Itagibá,5966,
BA,2915304,Itagimirim,2932,
BA,2915353,Itaguaçu da Bahia,6532,
BA,2915403,Itaju do Colônia,3065,
BA,2915502,Itajuípe,8635,
BA,2915601,Itamaraju,28161,
BA,2915700,Itamari,3593,
BA,2915809,Itambé,10002,
BA,2915908,Itanagra,2961,
BA,2916005,Itanhém,8921,
BA,2916104,Itaparica,9146,
BA,2916203,Itapé,4339,
BA,2916302,Itapebi,3840,
BA,2916401,Itapetinga,33684,
BA,2916500,Itapicuru,14388,
BA,2916609,Itapitanga,3644,
BA,2916708,Itaquara,3178,
BA,2916807,Itarantim,8137,
BA,2916856,Itatim,6212,
BA,2916906,Itiruçu,5509,
BA,2917003,Itiúba,14416,
BA,2917102,Itororó,8560,
BA,2917201,Ituaçu,8251,
BA,2917300,Ituberá,12803,
BA,2917334,Iuiú,4922,
BA,2917359,Jaborandi,3906,
BA,2917409,Jacaraci,6797,
BA,2917508,Jacobina,38798,
BA,2917607,Jaguaquara,22697,
BA,2917706,Jaguarari,11853,
BA,2917805,Jaguaripe,8421,
BA,2917904,Jandaíra,3844,
BA,2918001,Jequié,70548,
BA,2918100,Jeremoabo,17851,
BA,2918209,Jiquiriçá,7052,
BA,2918308,Jitaúna,5418,
BA,2918357,João Dourado,9541,
BA,2918407,Juazeiro,89600,
BA,2918456,Jucuruçu,3101,
BA,2918506,Jussara,6049,
BA,2918555,Jussari,2388,
BA,2918605,Jussiape,3812,
BA,2918704,Lafaiete Coutinho,1852,
BA,2918753,Lagoa Real,6441,
BA,2918803,Laje,11044,
BA,2918902,Lajedão,1604,
BA,2919009,Lajedinho,1571,
BA,2919058,Lajedo do Tabocal,3551,
BA,2919108,Lamarão,4047,
BA,2919157,Lapão,10947,
BA,2919207,Lauro de Freitas,87947,
BA,2919306,Lençóis,4838,
BA,2919405,Licínio de Almeida,5777,
BA,2919504,Livramento de Nossa Senhora,17164,
BA,2919553,Luís Eduardo Magalhães,31990,
BA,2919603,Macajuba,4033,
BA,2919702,Macarani,7471,
BA,2919801,Macaúbas,19587,
BA,2919900,Macururé,3314,
BA,2919926,Madre de Deus,7980,
BA,2919959,Maetinga,3438,
BA,2920007,Maiquinique,3897,
BA,2920106,Mairi,8920,
BA,2920205,Malhada,6206,
BA,2920304,Malhada de Pedras,3438,
BA,2920403,Manoel Vitorino,5932,
BA,2920452,Mansidão,4141,
BA,2920502,Maracás,11303,
BA,2920601,Maragogipe,19884,
BA,2920700,Maraú,8016,
BA,2920809,Marcionílio Souza,3734,
BA,2920908,Mascote,4856,
BA,2921005,Mata de São João,17636,
BA,2921054,Matina,4132,
BA,2921104,Medeiros Neto,9119,
BA,2921203,Miguel Calmon,12220,
BA,2921302,Milagres,4407,
BA,2921401,Mirangaba,6546,
BA,2921450,Mirante,4234,
BA,2921500,Monte Santo,21204,
BA,2921609,Morpará,3056,
BA,2921708,Morro do Chapéu,15244,
BA,2921807,Mortugaba,6520,
BA,2921906,Mucugê,4816,
BA,2922003,Mucuri,16328,
BA,2922052,Mulungu do Morro,5600,
BA,2922102,Mundo Novo,10212,
BA,2922201,Muniz Ferreira,3260,
BA,2922250,Muquém de São Francisco,3913,
BA,2922300,Muritiba,12960,
BA,2922409,Mutuípe,10284,
BA,2922508,Nazaré,12422,
BA,2922607,Nilo Peçanha,5205,
BA,2922656,Nordestina,4791,
BA,2922706,Nova Canaã,7026,
